station,latitude,longitude,height_m,x_m,y_m,z_m
BRST,48.3804906896,355.503402332,65.7937608492,4231162.779,-332746.923,4745130.681
BRUN,4.97117900783,114.952363731,90.6686540488,-2680694.374,5761268.529,549016.773
BRUX,50.7980595665,4.35855933848,158.127708993,4027881.8468,306998.261,4919498.6524
BSHM,32.778987317,35.0229868452,225.066028706,4395951.1833,3080707.2289,3433498.2609
BTR1,55.0668536301,47.6047433833,121.953119583,2468103.511,2703367.6612,5205748.7438
BUCU,44.4639422161,26.1257361434,143.206039258,4093761.206,2007793.576,4445129.764
BUDN,44.7801934842,44.1527073846,136.053600704,3253745.6268,3158908.0961,4470138.6453
BZLK,52.773020471,52.2266705089,82.9568188926,2368611.0077,3056531.7081,5055368.2616
BZR2,46.4957874276,11.3382354086,331.201541347,4312893.0489,864794.5284,4603598.276
CAS1,-66.283358223,110.519706272,22.5516030686,-901776.221,2409383.497,-5816748.487
CCJ2,27.0675314683,142.195029141,104.226357848,-4490605.4743,3483894.7071,2884928.1885
CEBR,40.4534292132,355.632147416,775.800969359,4846664.918,-370195.2,4116929.526
CEDU,-31.8666575308,133.80983475,144.716023165,-3753473.1987,3912741.0258,-3347959.6898
CHAP,52.9560628739,49.6891016962,60.674801386,2491100.3119,2936272.2522,5067647.8123
CHB1,56.1305669227,47.2857131675,195.995448077,2416861.2372,2617817.3988,5272720.6204
CHEB,56.1305669227,47.2857131675,195.995448077,2416861.2372,2617817.3988,5272720.6204
CHKM,55.135999667,54.6357518788,167.968043894,2114994.8775,2980023.2078,5210190.6393
CHOF,35.6745495402,139.531065942,93.985733036,-3946217.0385,3366689.0388,3698972.2108
CHPG,-22.6823041915,314.997647593,571.462159462,4163480.8163,-4163822.7125,-2444516.3622
CHPI,-22.6871447125,315.01484133,617.494742336,4164613.9484,-4162456.9866,-2445028.7316
CHR1,54.3653007808,48.8404151802,77.3527768757,2451172.4835,2803940.041,5160601.6345
CHRN,45.5179201217,32.7263370481,46.7381355176,3766112.1535,2420246.4128,4527898.3121
CHTI,-43.7354765131,183.382889912,75.677540686,-4607855.7107,-272376.2074,-4386954.6774
CHU2,58.7588320134,265.910941897,-18.4166210713,-236459.63,-3307639.31,5430035.83
CHUR,58.7590783584,265.911274754,-19.5414732825,-236438.7,-3307616.7,5430049.1
CHWK,49.1566088498,237.991574315,174.011397302,-2215259.73,-3543996.83,4802098.77
CHYK,56.7637754112,54.1602427736,117.578223969,2051713.6816,2840614.5251,5311626.0368
CIBG,-6.49037545629,106.849170852,169.250478488,-1837002.3472,6065627.4278,-716184.4573
CKIS,-21.2010231942,200.199382333,18.4015399618,-5583182.5748,-2054142.8739,-2292166.2954
CKSV,22.9988516156,120.22000726,59.662928625,-2956619.0678,5075902.3471,2476625.5739
CLRS,48.8203032353,235.86911576,175.925062898,-2360829.14,-3482884.62,4777557.03
CMUM,18.760877279,98.9323799501,308.962393218,-938078.387,5968373.965,2038404.323
COCO,-12.1883399827,96.8339753189,-35.3240590123,-741951.0755,6190961.7057,-1337767.3688
CORD,-31.5284355948,295.529951743,747.065374923,2345503.9452,-4910842.9601,-3316365.5474
CPVG,16.7320463073,337.065084188,96.4594338834,5626886.6935,-2380931.8973,1824482.8927
CRCS,44.1870130071,42.0435448335,581.398879488,3402338.1788,3068164.4052,4423420.9846
CRO1,17.7568994695,295.415681367,-31.497404865,2607771.494,-5488076.997,1932768.0602
CSTL,55.3762413167,50.6601899499,92.2542802049,2302554.1884,2809186.9231,5225371.3276
CUIB,-15.5552629945,303.930133449,237.444353181,3430711.4057,-5099641.565,-1699432.9311
CUSV,13.735913854,100.533923248,74.2552893031,-1132914.9582,6092528.5384,1504633.1825
CYNE,4.82195256577,307.634586025,-22.727151053,3880932.894,-5033206.147,532565.422
CZTG,-46.4318964772,51.8554821131,202.79230447,2719994.82,3463392.63,-4598612.94
DAE2,36.39942775,127.374482925,116.824312498,-3120042.274,4084614.722,3764026.818
DAEJ,36.3994270629,127.374485087,116.854432095,-3120042.4703,4084614.6595,3764026.7745
DANI,50.3577305442,44.1194533323,127.087211573,2927112.8497,2838497.4453,4888368.9082
DANK,53.2877649276,39.1518063014,177.95145018,2963218.3902,2412594.3904,5089895.0132
DARW,-12.8436967535,131.132744208,125.098962529,-4091359.6054,4684606.4197,-1408579.1196
DAV1,-68.5773228344,77.9726137119,44.4277962167,486854.546,2285099.2924,-5914955.7136
DBRY,58.4596306338,56.4180366135,126.123245398,1849999.4782,2786375.6484,5412799.7004
DERB,42.0465344006,48.2907370695,22.6324502658,3156129.7492,3541209.565,4249458.7185
DGAR,-7.26968432587,72.3702401868,-64.7455153838,1916269.343,6029977.689,-801719.821
DJIG,11.5262875591,42.8470644424,710.968907446,4583085.826,4250982.2097,1266242.975
